장면,종류,클립초,나레이션초,배속,판정,비고,파일
1,영상,8.0,6.734,1.188,OK,"",001.mp4
2,영상,8.0,7.848,1.019,OK,"",002.mp4
3,영상,6.016,4.969,1.211,OK,"",003.mp4
4,영상,8.0,6.316,1.267,OK,"",004.mp4
5,영상,10.005,9.985,1.002,OK,"",005.mp4
6,영상,6.016,5.062,1.188,OK,"",006.mp4
7,영상,8.0,6.966,1.148,OK,"",007.mp4
8,영상,10.005,8.99,1.113,OK,"",008.mp4
9,영상,4.01,3.038,1.32,OK,"",009.mp4
10,영상,8.0,7.059,1.133,OK,"",010.mp4
11,영상,10.005,8.452,1.184,OK,"",011.mp4
12,영상,6.016,5.851,1.028,OK,"",012.mp4
13,영상,8.0,6.502,1.23,OK,"",013.mp4
14,영상,6.016,4.96,1.213,OK,"",014.mp4
15,영상,6.016,5.722,1.051,OK,"",015.mp4
16,영상,8.0,7.802,1.025,OK,"",016.mp4
17,영상,10.005,9.938,1.007,OK,"",017.mp4
18,영상,6.016,4.07,1.478,OK,"",018.mp4
19,영상,10.005,8.376,1.194,OK,"",019.mp4
20,영상,10.005,9.799,1.021,OK,"",020.mp4
21,영상,6.016,5.294,1.136,OK,"",021.mp4
