장면,종류,클립초,나레이션초,배속,판정,비고,파일
1,영상,8.0,7.245,1.104,OK,"",001.mp4
2,영상,8.0,9.009,0.888,OK,"",002.mp4
3,영상,8.0,7.940999999999999,1.007,OK,"",003.mp4
4,영상,8.0,8.963000000000001,0.893,OK,"",004.mp4
5,영상,8.0,8.777000000000001,0.911,OK,"",005.mp4
6,영상,8.0,9.519999999999996,0.84,OK,"",006.mp4
7,영상,8.0,10.588000000000001,0.756,OK,"",007.mp4
8,영상,11.0,10.866999999999997,1.012,OK,"",008.mp4
9,영상,8.0,7.338000000000008,1.09,OK,"",009.mp4
10,영상,8.0,7.337999999999994,1.09,OK,"",010.mp4
11,영상,8.0,7.338000000000008,1.09,OK,"",011.mp4
12,영상,12.5,12.259999999999991,1.02,OK,"",012.mp4
13,영상,8.0,10.310000000000002,0.776,OK,"",013.mp4
14,영상,8.0,8.545000000000002,0.936,OK,"",014.mp4
15,영상,8.0,9.566999999999993,0.836,OK,"",015.mp4
16,영상,8.0,5.5260000000000105,1.448,OK,"",016.mp4
17,영상,10.0,11.888999999999982,0.841,OK,"",017.mp4
18,영상,10.0,12.02800000000002,0.831,OK,"",018.mp4
19,영상,10.0,10.912999999999982,0.916,OK,"",019.mp4
